Gene,Treatment1,Treatment2,Treatment3,Vector1,Vector2,Vector3,KO1,KO2,KO3,WT1,WT2,WT3
TSPAN6,10.20561623,9.884214305,10.11842219,10.53201318,10.42339684,10.57375071,9.830426618,9.870590853,9.863167781,10.48478425,10.45016824,10.43473993
DPM1,11.67310168,11.88307363,11.66521229,11.57474135,11.48592847,11.44483891,11.55279208,11.59032076,11.53646273,11.23987057,11.24933133,11.14764678
SCYL3,8.2465154,8.313022339,8.316790484,8.52796534,8.58489988,8.524845827,8.467501888,8.579886946,8.560484574,8.584150672,8.611946344,8.448754729
C1orf112,9.163677675,9.601752749,8.971753695,9.692615728,9.316454179,9.456828295,9.653431783,9.670970542,9.712050787,9.217909256,9.121831508,9.134306882
FGR,6.635028806,6.28161078,6.665966809,5.604742913,5.930635785,5.849487075,7.085512384,6.880683803,6.83726343,6.563033651,7.051433164,6.614929949
CFH,5.916254229,5.285273488,5.76788313,10.9575915,11.311464,11.31457958,9.347455563,9.609232695,9.440083381,11.10840684,11.37112746,11.02986303
FUCA2,13.70274827,13.6350515,13.80196864,13.4653185,13.39296323,13.45772721,13.5674281,13.49322807,13.61640851,13.43289589,13.52090266,13.47779986
GCLC,9.891293154,10.22384852,9.671141949,9.576549332,9.291666759,9.353850428,10.19902392,9.983324048,10.28938413,9.640527391,9.338250239,9.621263776
NFYA,11.02579874,11.14862799,10.74043839,11.0759938,11.05854436,11.07131104,11.4268021,11.45356141,11.34311072,10.94553172,11.04135464,11.01269774
STPG1,10.66913717,10.9535331,10.65640991,10.74852535,10.90917707,10.88766225,10.90813353,10.977781,10.72605553,10.47794832,10.75379306,10.56998241
NIPAL3,13.18228229,13.12979809,13.04299202,12.98069649,13.11260341,13.08194265,12.43232195,12.48153111,12.3370237,12.94480611,13.06502008,13.01646962
LAS1L,11.48737943,11.86402942,11.48040675,11.28248783,11.16311922,11.20853415,11.56008542,11.61385087,11.57480382,10.92104652,11.01289076,11.16388543
ENPP4,8.927976941,8.850584571,8.467762538,7.924554268,8.097161055,8.16287704,9.069031258,9.132979613,9.279397333,8.302953235,7.894012664,7.932265145
SEMA3F,10.48704681,10.46574277,10.3136467,10.68090743,11.21086127,10.80349876,11.6516886,11.82049,11.3639049,11.77511245,12.2851919,11.85926247
ANKIB1,12.46658721,12.22237153,12.10709835,12.87132351,12.95661065,12.90575088,12.84046757,12.89856678,12.81425712,13.00237972,12.95493942,12.86469789
CYP51A1,10.17582108,10.05983065,10.0485121,10.41262505,10.26560004,10.35724807,9.91252853,9.820107318,10.02547845,10.31949043,10.23493446,10.12145132
KRIT1,11.03540041,10.94052366,10.82117099,11.30999225,11.28452518,11.27597779,11.25138819,11.24798054,11.21440607,11.49203161,11.35845802,11.32873019
RAD52,9.981506079,9.788933792,9.892558046,9.678608565,9.985742316,9.922858693,10.0369707,10.05782745,9.781176982,10.09840734,10.1932532,10.11775013
MYH16,6.058061934,6.732987715,6.345116505,5.684299207,5.718076424,5.623947538,8.581182026,8.756578848,8.312423723,5.945765644,6.303263529,6.007286071
BAD,11.36732586,11.17976785,11.69710252,11.46658572,11.34126454,11.54734405,11.07831089,10.80612416,10.92659577,11.19097239,11.46822929,11.41316636
LAP3,12.64629315,12.71830835,12.5615904,12.2081553,12.02671292,12.11610026,12.31004565,12.21304799,12.27150517,12.11702765,12.19912662,12.2009622
CD99,14.15980312,13.73694544,14.18684382,14.51818565,14.58907205,14.59841683,13.33869606,13.14223618,13.29297947,13.61469674,13.7504005,13.83302503
HS3ST1,6.716966174,5.882687158,6.329175862,7.245193686,7.3708394,7.458941896,6.492613249,6.546669816,6.378876596,6.735792734,6.753323505,6.938711914
HECW1,9.972201338,9.443852856,9.982199232,10.6089084,10.60300323,10.61449351,10.17641675,10.36038815,10.25065166,10.60510563,10.49287948,10.64560208
MAD1L1,12.38857949,12.32233604,12.59154239,12.27281144,12.13932399,12.26010429,12.61358623,12.45647233,12.5906145,12.18470086,12.20464238,12.43997318
LASP1,14.63054102,14.75718068,14.65543319,14.43817518,14.33839576,14.36614767,14.06299066,14.05422313,14.08146325,14.23711985,14.33562082,14.33760782
SNX11,10.61380946,10.7468297,10.67420136,10.65458269,10.55756034,10.68649666,10.57240901,10.61303986,10.46182682,10.189106,10.52010489,10.40062799
TMEM176A,5.662952021,4.930347725,5.630015976,5.892329795,6.163810342,6.120123967,5.781961061,5.786071775,5.605428278,6.745288243,6.741358556,6.818387843
M6PR,12.95716641,13.29120559,12.92784369,13.00052541,12.67323475,12.74000927,13.43763455,13.39792559,13.43417758,12.9502483,13.05138272,13.09211202
KLHL13,5.662952021,5.244254298,5.569210581,4.958621355,4.723535226,5.207410025,5.913463241,5.95132143,6.04119349,5.707478047,6.041711568,5.709388008
CYP26B1,11.48364362,10.43541774,11.1064029,12.26647468,12.60285019,12.55357417,12.45244911,12.66425836,12.47460775,12.47822353,12.6003975,12.58726369
DBNDD1,8.947126501,7.998800406,8.668030024,8.910675593,9.12078835,9.09808772,8.10039717,8.039953588,7.848811936,8.413531476,8.733514095,8.650595858
ALS2,11.55702555,11.56964591,11.32767423,11.69584889,11.81085547,11.76395734,11.44897241,11.57010643,11.3831695,11.46255922,11.48688924,11.34359066
CASP10,8.559557746,7.690899563,8.560238274,8.656311914,8.731582173,8.755564594,8.337214557,8.594559218,8.422656109,8.913524043,8.859001294,9.071847179
CFLAR,11.55924579,11.33175967,11.51125037,11.57312075,11.81954273,11.78388361,11.37893992,11.35550432,11.24257998,11.59952993,11.59724625,11.59004153
TFPI,11.3438205,11.28822158,11.08771866,11.94339546,12.03998948,11.89038422,11.47080715,11.66932328,11.45951135,11.53052433,11.69080163,11.44698073
NDUFAF7,8.941681179,9.125488082,9.025954132,9.19864024,9.163930415,9.069821787,9.393951535,9.395942155,9.321281146,9.114041037,9.015698146,8.963150893
RBM5,11.39593055,11.40934556,11.2983405,11.17689878,11.26698828,11.18460244,11.44188333,11.43539057,11.38255206,11.56027215,11.44976726,11.46456664
MTMR7,5.916254229,5.614545728,5.93539622,6.146592566,5.864220773,6.092955165,6.236770614,6.224588212,6.197377406,6.449665656,6.286315456,6.007286071
SLC7A2,4.806488328,5.244254298,4.784362904,5.047136128,5.065328529,5.27196984,6.567699598,7.127910388,6.44073976,5.228333718,5.026807914,4.989579153
ARF5,12.63560201,12.3342772,12.87145582,12.71208122,12.6956912,12.81632015,12.45597199,12.40267374,12.3379794,12.63620504,12.92549827,12.95680008
SARM1,10.15365159,10.01627445,9.984578383,10.32801671,10.38097825,10.39313553,10.00311029,9.928059305,9.894701158,10.07956223,10.20693222,10.3489503
POLDIP2,13.43009576,13.59545878,13.47336146,13.50778611,13.33372191,13.4319332,13.33402386,13.25904696,13.30622463,12.96082637,13.2097079,13.20073677
PLXND1,10.07139224,8.96244764,9.913936855,8.133731227,9.013664786,8.930030176,7.671495532,7.741884791,7.526291893,9.554725782,10.0085202,9.759148935
AK2,13.15229987,13.43746568,13.3190247,13.12961353,12.93855851,13.06635249,13.01460524,12.90040777,13.0599324,12.78274688,12.84268346,12.86580121
CD38,6.143942614,5.496597154,5.957414573,5.194205572,5.450813696,5.331673581,6.440029071,6.377856385,6.197377406,5.980987425,5.70442374,5.709388008
FKBP4,12.60218374,12.94704106,12.55180076,12.76485284,12.59556292,12.66861346,13.34060306,13.34212655,13.2919935,12.48266884,12.64358175,12.66241711
KDM1A,12.64608428,12.60261736,12.60956629,12.8491765,12.84048382,12.78796392,12.77459661,12.8374185,12.73376301,12.54677588,12.64319493,12.54334706
RBM6,11.92663928,12.04217128,11.86946209,11.5828172,11.73838953,11.64038283,11.90408686,11.92511477,11.93543404,11.86848312,11.8578057,11.90004344
CAMKK1,10.57395277,10.33350996,10.709858,9.73577217,9.915417018,9.852772026,9.374208251,9.457313907,9.055694599,9.863641653,10.22359171,10.01005958
RECQL,12.2392815,12.40556734,11.96950089,12.65883448,12.54843845,12.52729121,12.95637743,13.09044004,12.86619093,12.44180799,12.49587568,12.40422288
CCDC132,10.19879487,10.18982885,10.00347154,10.59086672,10.52841377,10.43677424,10.30529459,10.34424371,10.32324678,10.39328513,10.29034714,10.21102164
HSPB6,11.68819366,10.74357678,11.63903163,12.23982448,12.49490989,12.46393511,10.15922566,10.09046026,10.15841913,11.93187453,11.97770818,12.11325332
ARHGAP33,9.061984818,9.008777377,9.214274561,8.676629535,9.185025872,9.014865876,8.042906319,8.153618195,8.056412467,8.844925012,8.513493976,8.743383668
NDUFAB1,10.95403806,11.2069469,11.13076566,11.13942542,10.8725374,11.0530023,11.49307859,11.49557781,11.49421969,10.93008946,11.12074776,11.06102589
PDK4,8.349054483,7.296602836,7.828940094,7.971564951,8.276975961,8.101895775,8.615286056,8.937077954,8.427470523,9.098061097,8.926803688,9.046083604
ZMYND10,8.497732038,7.565392154,8.537672583,8.692679056,8.651467462,8.695106687,6.946190129,7.117588004,6.866761353,8.124474524,8.328839428,8.587613942
ABCB5,4.982242512,4.994746859,5.630015976,5.827297551,5.962444545,5.665061415,4.376859979,4.997136348,4.376859979,4.895013298,4.789995119,4.811733156
SLC25A13,10.58620009,10.96251443,10.54881392,10.51184921,9.963260774,10.19535247,11.05681634,10.94032782,11.15273501,10.67191876,10.44928328,10.52319071
ST7,10.09485291,10.26345838,10.01282606,10.36345866,10.23417009,10.20259419,10.88972561,10.84488508,10.85450948,10.52645868,10.56164161,10.60916665
CDC27,12.35523607,12.47467736,12.17608932,12.53361101,12.44619086,12.40521829,12.13699047,12.21364042,12.23366363,12.30909283,12.11319628,12.13171617
HCCS,10.87638393,11.12482384,10.84296303,11.1002025,11.1058727,11.13929178,10.40102163,10.44154383,10.48617514,9.908067288,9.969541073,10.09408595
DVL2,12.21216594,12.44654948,12.19546649,12.32124117,12.07910142,12.21928458,12.47461678,12.3438174,12.36166839,11.93537135,12.02241652,12.12742926
UPF1,13.7821628,13.91641938,13.54922502,13.77624536,13.7989423,13.81995551,14.20339337,14.11478427,14.13174389,13.77967801,13.86869731,13.98672294
SKAP2,11.31782915,11.18601182,11.19430413,11.52977602,11.57868809,11.42269011,11.41880082,11.59351072,11.37636309,11.73066595,11.67347917,11.59803089
SLC25A5,14.07087063,14.47807158,14.17126994,14.06494392,13.83378203,13.9791291,13.97324203,13.99359736,13.97234659,13.3468914,13.59737313,13.50873562
CCDC109B,10.53205905,10.64659845,10.54720567,10.12761971,9.902749421,9.976235209,10.0390608,9.881075872,9.918758872,10.00922478,10.04881222,10.08779344
POLR2J,11.80916934,11.93361407,11.99361062,11.73647463,11.57356151,11.72325957,12.10044164,12.02401373,11.99884727,11.5531364,11.74408234,11.75712445
DHX33,11.03667582,11.47671556,10.89509685,11.06527338,11.05854436,11.06893608,11.31484984,11.35657764,11.39055824,10.98222211,11.01946352,10.98385292
MEOX1,9.418006347,8.45393509,9.248359564,9.181703955,9.801095203,9.751710158,6.790979506,6.737871092,6.645223942,9.624514393,10.23184982,9.687699118
THSD7A,5.562849326,5.614545728,5.397812328,5.423137148,5.216194708,5.207410025,5.456152103,5.192823915,5.372089787,6.187394381,6.26913476,6.053976112
LIG3,10.68305102,10.78972541,10.58060803,10.93168692,10.85574091,10.83738365,10.96638678,10.95882261,10.8037544,10.55206933,10.70198523,10.59504071
RPAP3,10.87424531,11.28016242,10.70913906,10.81859674,10.53194262,10.57486714,11.34387423,11.39417223,11.35133819,10.98125571,10.89566263,10.86895292
AC004381.6,8.467688301,8.876999647,8.514746032,8.597842697,8.634015914,8.61031878,8.193863385,8.158575683,8.198632782,8.614467444,8.874934319,8.640289002
CIAPIN1,11.50821493,11.88100287,11.59768287,11.59031408,11.44907942,11.60038035,11.96029236,11.76902148,11.89920134,11.39050519,11.4916242,11.57662682
SPPL2B,11.88582561,11.49269025,12.02369797,11.90912162,12.17549021,12.13929913,11.77965689,11.62947505,11.7644644,12.01873354,12.03367558,12.1237446
FAM214B,11.82069011,11.54892633,11.8940231,11.77880239,12.04493686,11.94190612,12.40017311,12.46620015,12.26113013,11.57891713,11.70569739,11.75156405
COPZ2,12.01889842,11.56670412,12.17894764,11.85857511,11.77507748,11.94190612,10.7727984,10.67716768,10.70150945,11.39123293,11.59044036,11.69516234
PRKAR2B,7.696634409,7.728603424,7.479502359,6.312853824,6.660712241,6.54786453,6.749217448,7.158422519,6.776259273,6.584570968,6.519483476,6.356390113
MSL3,10.52298628,10.78593559,10.44208952,10.9434434,10.75768413,10.83085697,9.798699623,9.636016357,9.781176982,9.896832277,9.811817069,9.836261402
CREBBP,11.65037174,11.66556883,11.60581627,11.4793318,11.3926255,11.45760372,11.70727083,11.75525197,11.85181157,12.06985437,11.86013764,12.08289604
BZRAP1,8.591240739,8.096439541,8.650117166,6.880077964,7.349324055,7.103342252,6.26789577,5.660100201,5.954664728,6.726229308,6.575148691,6.585284741
CROT,10.95673556,10.79539153,10.84165163,10.92492565,10.84159287,10.92666015,10.47852092,10.39319127,10.47347254,11.01044332,10.93728002,10.95441946
KMT2E,11.67433125,11.26798863,11.69601451,11.91040565,12.01331304,11.89441344,11.75126427,11.84172423,11.80603885,12.25474946,12.11932804,12.09799804
RHBDD2,13.03898621,12.65704842,13.08182761,13.02897907,12.94055092,13.07308284,13.21801891,13.18470291,13.13112805,13.14014076,13.33725816,13.4061749
IBTK,11.85072812,11.65660442,11.62461775,12.00879396,12.30313991,12.13021617,11.96853745,12.03813021,11.95674474,12.22076448,12.05447964,12.02941475
MYCBP2,11.2654861,10.85689479,11.08495046,11.33698203,11.52304204,11.45881355,11.10548428,11.24740201,11.22132866,11.93487232,11.71235063,11.76424218
FBXL3,11.18725345,11.24516962,11.05074345,11.17119663,11.08600759,11.1617536,10.93306684,11.04523795,11.01051701,11.49677296,11.3551551,11.33724062
PDK2,10.38758457,10.27251609,10.33710571,10.29823755,10.17219563,10.16156389,10.04114787,10.10714182,10.00154279,9.863641653,10.03353913,10.07385245
LAMP2,13.84538497,13.4571576,13.657146,13.97453754,14.06048273,13.98102487,13.29215511,13.42503614,13.28919623,13.71873128,13.82178413,13.64895887
