Gene,Sample_A1,Sample_A2,Sample_A3,Sample_B1,Sample_B2,Sample_B3,Sample_C1,Sample_C2,Sample_C3
TP53,8.21,7.98,8.45,5.12,4.87,5.34,3.10,2.95,3.22
BRCA1,6.54,6.78,6.30,8.90,9.10,8.75,7.20,7.45,7.10
MYC,9.80,10.10,9.65,4.30,4.10,4.55,6.80,6.60,7.00
EGFR,3.20,3.45,3.10,7.80,8.00,7.60,5.50,5.30,5.70
VEGFA,4.10,3.90,4.30,6.70,6.50,6.90,9.20,9.40,9.00
CDKN1A,7.60,7.80,7.40,3.50,3.30,3.70,5.00,4.80,5.20
BCL2,5.30,5.10,5.50,9.20,9.40,9.00,4.20,4.00,4.40
PTEN,8.90,9.10,8.70,4.80,4.60,5.00,6.30,6.10,6.50
KRAS,3.80,3.60,4.00,8.10,8.30,7.90,5.80,5.60,6.00
STAT3,6.20,6.40,6.00,5.20,5.00,5.40,8.70,8.50,8.90
TNF,4.50,4.30,4.70,7.40,7.60,7.20,3.80,3.60,4.00
IL6,3.10,2.90,3.30,6.80,7.00,6.60,9.50,9.30,9.70
CXCL8,5.70,5.90,5.50,4.10,3.90,4.30,8.20,8.00,8.40
IFNG,7.30,7.10,7.50,3.20,3.00,3.40,5.60,5.40,5.80
HIF1A,4.80,5.00,4.60,8.60,8.80,8.40,6.90,6.70,7.10
MDM2,6.90,7.10,6.70,5.90,5.70,6.10,4.50,4.30,4.70
RB1,8.40,8.60,8.20,4.40,4.20,4.60,6.10,5.90,6.30
CDK4,3.60,3.40,3.80,7.20,7.40,7.00,5.40,5.20,5.60
CCND1,5.50,5.30,5.70,9.80,10.00,9.60,4.70,4.50,4.90
TGFB1,7.00,7.20,6.80,3.80,3.60,4.00,7.60,7.40,7.80
AKT1,4.20,4.00,4.40,6.20,6.00,6.40,8.90,8.70,9.10
MTOR,6.10,6.30,5.90,7.10,7.30,6.90,3.40,3.20,3.60
PIK3CA,8.70,8.90,8.50,5.70,5.50,5.90,5.10,4.90,5.30
ERBB2,3.40,3.20,3.60,9.40,9.60,9.20,6.50,6.30,6.70
FOS,5.90,6.10,5.70,4.60,4.40,4.80,7.80,7.60,8.00
JUN,7.50,7.70,7.30,6.30,6.10,6.50,4.00,3.80,4.20
NF1,4.40,4.20,4.60,7.50,7.70,7.30,6.20,6.00,6.40
CTNNB1,6.80,7.00,6.60,3.60,3.40,3.80,8.40,8.20,8.60
VHL,9.10,9.30,8.90,5.00,4.80,5.20,3.70,3.50,3.90
SMAD4,5.00,4.80,5.20,8.40,8.60,8.20,5.90,5.70,6.10
